,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,tabory,58.5198,64.5495,9.45,95,100,9.62,RU,1611977844
367,brae,60.3964,-1.353,32.0,80,75,8.05,GB,1611977627
368,norsup,-16.0667,167.3833,82.51,77,58,14.65,VU,1611977844
369,encruzilhada do sul,-30.5439,-52.5219,68.27,95,64,1.95,BR,1611977844
370,matay,28.419,30.7792,39.49,75,0,1.74,EG,1611977845
371,kungurtug,50.5994,97.5228,19.83,90,100,13.85,RU,1611977845
372,sola,-13.8833,167.55,87.8,79,90,5.75,VU,1611977845
373,apatity,67.5641,33.4031,12.0,85,100,3.51,RU,1611977845
374,koumac,-20.5667,164.2833,79.63,78,69,8.01,NC,1611977845
375,pevek,69.7008,170.3133,-30.08,85,21,3.65,RU,1611977846
376,komsomolskiy,40.4272,71.7189,28.4,54,56,11.5,UZ,1611977846
377,bela vista,-22.1089,-56.5211,74.26,87,98,7.72,BR,1611977846
378,gumdag,39.2061,54.5906,47.62,52,99,15.12,TM,1611977846
379,fuerte olimpo,-21.0415,-57.8738,76.64,79,87,6.8,PY,1611977846
380,inhambane,-23.865,35.3833,71.6,100,75,3.67,MZ,1611977626
381,sisimiut,66.9395,-53.6735,7.61,87,2,9.93,GL,1611977620
382,alofi,-19.0595,-169.9187,80.6,89,100,8.05,NU,1611977847
383,umm kaddadah,13.6017,26.6876,58.64,32,0,17.74,SD,1611977594
384,kangalassy,62.3464,129.9628,-49.0,59,99,2.24,RU,1611977848
385,nordfjordeid,61.9063,5.9915,34.0,79,100,5.91,NO,1611977848
386,lipova,46.0833,21.7,39.2,100,98,5.75,RO,1611977848
387,nishihara,26.1842,127.7558,66.2,31,40,10.36,JP,1611977848
388,mezen,65.8522,44.24,9.9,95,100,10.04,RU,1611977848
389,kawerau,-38.1,176.7,72.0,52,55,8.01,NZ,1611977848
390,los pozos,8.4518,-62.7268,77.0,82,14,5.01,VE,1611977849
391,walvis bay,-22.9575,14.5053,66.99,82,12,8.05,NA,1611977589
392,bandarbeyla,9.4942,50.8122,73.38,73,27,11.81,SO,1611977849
393,vidim,56.4088,103.1106,-19.01,86,100,6.42,RU,1611977849
394,hue,16.4667,107.6,71.6,78,40,3.44,VN,1611977849
395,praia da vitoria,38.7333,-27.0667,59.0,82,20,17.52,PT,1611977849
396,manicore,-5.8092,-61.3003,75.2,100,75,1.14,BR,1611977849
397,trairi,-3.2778,-39.2689,79.03,80,93,9.91,BR,1611977850
398,saint-francois,46.4154,3.9054,46.4,76,0,8.05,FR,1611977850
399,marawi,7.9986,124.2928,80.01,80,75,3.0,PH,1611977592
400,iquitos,-3.7481,-73.2472,78.8,89,75,6.91,PE,1611977661
401,qasigiannguit,68.8193,-51.1922,-0.4,55,0,8.05,GL,1611977850
402,dolinsk,47.35,142.8,19.4,86,75,15.66,RU,1611977850
403,constitucion,-35.3333,-72.4167,60.51,94,100,9.69,CL,1611977851
404,baykit,61.67,96.37,-34.87,76,97,4.23,RU,1611977851
405,kudahuvadhoo,2.6708,72.8944,80.8,79,0,14.56,MV,1611977646
406,jiangmen,22.5833,113.0833,72.0,67,0,1.01,CN,1611977851
407,hasaki,35.7333,140.8333,45.0,22,20,24.16,JP,1611977851
408,kpandae,8.4689,-0.0113,77.76,71,0,0.81,GH,1611977851
409,shingu,33.7333,135.9833,44.6,49,40,17.27,JP,1611977851
410,kloulklubed,7.0419,134.2556,86.0,62,75,13.8,PW,1611977852
411,aurad,18.25,77.4333,76.59,48,29,1.68,IN,1611977852
412,deputatskiy,69.3,139.9,-29.0,87,100,2.3,RU,1611977852
413,karatau,43.1667,70.4667,29.07,77,96,4.45,KZ,1611977852
414,ancud,-41.8697,-73.8203,52.0,71,0,16.11,CL,1611977852
415,san policarpo,12.1791,125.5072,78.91,81,100,23.24,PH,1611977852
416,tutoia,-2.7619,-42.2744,79.7,83,79,12.12,BR,1611977852
417,saint anthony,45.0205,-93.218,25.0,58,90,10.36,US,1611977853
418,cayenne,4.9333,-52.3333,77.0,100,75,8.05,GF,1611977853
419,norman wells,65.282,-126.8329,-34.6,74,40,2.3,CA,1611977851
420,leshukonskoye,64.8989,45.7622,14.79,96,100,9.44,RU,1611977853
421,aloleng,16.1307,119.7824,80.83,58,2,11.43,PH,1611977853
422,varca,15.2167,73.9167,73.4,73,20,4.61,IN,1611977854
423,yeniseysk,58.4497,92.1703,-25.04,82,84,4.92,RU,1611977854
424,ahlat,38.7518,42.4814,24.76,92,100,6.76,TR,1611977854
425,nerchinskiy zavod,51.3088,119.61,-22.94,83,4,2.51,RU,1611977854
426,sakakah,29.9697,40.2064,41.0,70,0,6.91,SA,1611977854
427,kirakira,-10.4544,161.9205,83.39,78,100,9.04,SB,1611977854
428,prabumulih,-3.45,104.25,82.31,74,100,6.2,ID,1611977855
429,wewak,-3.5534,143.6268,85.46,69,100,10.2,PG,1611977855
430,tessalit,20.1986,1.0114,59.41,29,0,11.41,ML,1611977633
431,iskateley,67.6803,53.1512,-7.35,86,100,16.4,RU,1611977855
432,tete,-16.1564,33.5867,75.2,100,75,3.44,MZ,1611977855
433,college,64.8569,-147.8028,1.0,70,40,2.75,US,1611977566
434,luderitz,-26.6481,15.1594,64.8,55,0,21.34,NA,1611977855
435,liuhe,42.2401,125.7172,9.16,83,22,8.03,CN,1611977856
436,palu,-0.8917,119.8707,90.21,47,49,4.09,ID,1611977856
437,vardo,70.3705,31.1107,26.26,97,100,21.74,NO,1611977856
438,karaton,-6.3424,106.1045,82.99,83,75,17.27,ID,1611977856
439,conakry,9.538,-13.6773,77.09,77,0,6.02,GN,1611977856
440,jerome,42.7241,-114.5186,33.8,93,90,14.97,US,1611977856
441,berlevag,70.8578,29.0864,24.93,95,100,16.89,NO,1611977856
442,codrington,-38.2667,141.9667,62.94,71,100,13.2,AU,1611977857
443,tura,25.5198,90.2201,68.65,36,0,3.44,IN,1611977857
444,rajanpur,29.1035,70.325,61.56,26,5,3.78,PK,1611977857
445,baglung,28.2719,83.5898,59.88,30,0,3.42,NP,1611977643
446,ust-kut,56.7938,105.7672,-22.81,82,98,3.49,RU,1611977857
447,rondonopolis,-16.4708,-54.6356,73.51,74,99,2.33,BR,1611977636
448,ternate,0.8,127.4,83.55,71,37,9.37,ID,1611977858
449,meulaboh,4.1363,96.1285,84.79,63,88,2.82,ID,1611977858
450,khatanga,71.9667,102.5,-43.19,75,1,3.13,RU,1611977858
451,cotonou,6.3654,2.4183,78.8,89,20,3.44,BJ,1611977858
452,aykhal,66.0,111.5,-35.21,81,100,8.21,RU,1611977858
453,troitsko-pechorsk,62.7084,56.1964,-7.56,89,100,11.05,RU,1611977858
454,raymondville,26.4815,-97.7831,64.4,82,1,6.91,US,1611977858
455,alyangula,-13.8483,136.4192,89.6,66,31,8.05,AU,1611977859
456,hede,33.7681,120.2517,51.55,46,0,6.96,CN,1611977859
457,erzin,36.9559,36.2,39.0,85,0,13.0,TR,1611977859
458,zhaoqing,23.0512,112.4597,66.99,99,0,5.93,CN,1611977859
459,nanyuki,0.0167,37.0728,51.46,66,33,3.87,KE,1611977859
460,pontes e lacerda,-15.2261,-59.3353,72.37,87,99,2.37,BR,1611977859
461,dingolfing,48.6333,12.5,42.01,87,91,8.01,DE,1611977859
462,porbandar,21.6422,69.6093,55.4,54,28,6.91,IN,1611977620
463,mykolayiv,46.9659,31.9974,32.0,93,75,6.71,UA,1611977860
464,rudbar,30.15,62.6,56.88,29,29,0.36,AF,1611977860
465,laguna,38.421,-121.4238,46.99,87,1,4.61,US,1611977860
466,butterworth,5.3991,100.3638,86.0,61,20,8.05,MY,1611977860
467,isangel,-19.55,169.2667,87.8,62,40,11.5,VU,1611977861
468,henties bay,-22.116,14.2845,66.99,82,41,3.96,NA,1611977605
469,lanzhou,36.0564,103.7922,26.6,36,0,2.24,CN,1611977861
470,terrace,54.5163,-128.6035,19.4,73,90,23.02,CA,1611977861
471,blythe,33.6103,-114.5964,57.2,44,1,8.05,US,1611977861
472,douentza,14.9951,-2.9517,61.56,29,28,3.89,ML,1611977861
473,atambua,-9.1061,124.8925,77.9,85,100,10.31,ID,1611977862
474,muros,42.7762,-9.0603,57.99,77,6,18.01,ES,1611977862
475,worland,44.0169,-107.9554,39.2,48,90,6.91,US,1611977862
476,puerto baquerizo moreno,-0.9,-89.6,77.58,83,60,8.84,EC,1611977862
477,fort-shevchenko,44.5086,50.263,33.24,90,65,9.62,KZ,1611977862
478,taos,36.4072,-105.5731,33.8,51,20,4.61,US,1611977862
479,nizhniy tsasuchey,50.5167,115.1333,-12.48,85,99,7.74,RU,1611977863
480,waddan,29.1614,16.139,53.33,51,0,5.01,LY,1611977863
481,harper,4.375,-7.7169,78.3,86,17,6.76,LR,1611977863
482,beringovskiy,63.05,179.3167,-18.54,83,0,10.07,RU,1611977863
483,qandala,11.472,49.8728,71.49,72,18,2.71,SO,1611977863
484,mettlach,49.4935,6.5969,44.01,93,75,16.11,DE,1611977864
485,bantry,51.6833,-9.45,42.8,100,75,28.77,IE,1611977864
486,drayton valley,53.2168,-114.9854,3.99,80,0,2.08,CA,1611977864
487,shache,38.4167,77.2406,28.67,77,0,2.06,CN,1611977864
488,bollnas,61.3482,16.3946,2.39,89,41,4.27,SE,1611977864
489,chimbote,-9.0853,-78.5783,70.32,79,98,6.24,PE,1611977865
490,salvador,13.8333,-88.9167,84.2,42,0,10.36,SV,1611977640
491,cabo san lucas,22.8909,-109.9124,68.0,82,1,4.61,MX,1611977789
492,ende,-8.8432,121.6623,81.43,77,99,5.66,ID,1611977865
493,durban,-29.8579,31.0292,75.99,94,90,3.44,ZA,1611977770
494,iqaluit,63.7506,-68.5145,-13.0,70,1,27.63,CA,1611977865
495,thinadhoo,0.5333,72.9333,82.0,75,94,13.0,MV,1611977866
496,jijiga,9.35,42.8,57.79,50,28,2.62,ET,1611977866
497,san antonio,29.4241,-98.4936,63.0,72,90,12.66,US,1611977649
498,fundacion,10.5207,-74.185,75.0,82,67,3.87,CO,1611977866
499,tyumentsevo,53.3224,81.498,15.22,97,100,6.02,RU,1611977866
500,grafton,42.207,-71.6856,12.99,61,1,18.41,US,1611977843
501,katherine,-14.4667,132.2667,86.0,66,90,12.66,AU,1611977867
502,ushibuka,32.1906,130.0228,46.72,55,0,7.9,JP,1611977867
503,marienburg,54.0359,19.0266,27.0,95,100,1.01,PL,1611977637
504,mocuba,-16.8392,36.9856,74.3,98,99,1.28,MZ,1611977867
505,sarangani,5.4033,125.4636,82.02,75,100,20.78,PH,1611977867
506,beidao,34.5686,105.8933,41.47,48,95,2.26,CN,1611977867
507,pombal,-6.7703,-37.8017,78.85,67,100,10.87,BR,1611977867
508,dali,25.7,100.1833,56.88,37,0,6.46,CN,1611977868
509,itoman,26.1247,127.6694,66.2,45,20,6.91,JP,1611977868
510,carlyle,38.6103,-89.3726,33.01,75,100,10.63,US,1611977868
511,husavik,66.0449,-17.3389,26.6,86,90,17.27,IS,1611977868
512,ixtapa,20.7,-105.2,73.0,94,40,2.3,MX,1611977755
513,curico,-34.9833,-71.2333,64.0,100,20,10.36,CL,1611977868
514,slave lake,55.2834,-114.769,1.4,78,1,5.75,CA,1611977869
515,am timan,11.0297,20.2827,67.23,24,0,7.72,TD,1611977869
516,pangai,-19.8,-174.35,82.4,83,90,5.75,TO,1611977869
517,mayumba,-3.432,10.6554,78.28,89,100,7.02,GA,1611977869
518,northam,51.0333,-4.2167,48.99,94,100,7.0,GB,1611977869
519,djibo,14.1022,-1.6306,67.44,23,49,9.95,BF,1611977869
520,jiblah,13.9216,44.1467,55.51,67,0,2.51,YE,1611977870
521,itarema,-2.9248,-39.9167,79.0,83,84,12.15,BR,1611977870
522,mountain home,43.133,-115.6912,35.6,87,90,11.16,US,1611977681
523,amahai,-3.3333,128.9167,87.33,59,95,3.49,ID,1611977870
524,shenjiamen,29.9576,122.298,48.56,67,0,12.03,CN,1611977870
525,mahabad,36.7631,45.7222,33.1,90,6,15.79,IR,1611977870
526,hambantota,6.1241,81.1185,80.6,89,20,9.22,LK,1611977871
527,malyn,50.7723,29.2383,17.6,93,49,4.47,UA,1611977871
528,port augusta,-32.5,137.7667,82.99,53,30,17.27,AU,1611977871
529,agadez,19.75,10.25,52.56,37,0,8.66,NE,1611977619
530,zastron,-30.3023,27.084,60.35,65,0,3.42,ZA,1611977871
531,langarud,37.197,50.1535,50.0,100,90,2.15,IR,1611977871
532,mareeba,-17.0,145.4333,89.01,62,77,17.27,AU,1611977872
533,banjar,-8.19,114.9675,84.2,79,20,11.5,ID,1611977872
534,portobelo,9.55,-79.65,79.0,76,99,15.01,PA,1611977872
535,rudarpur,26.4394,83.6144,56.32,48,0,7.65,IN,1611977872
536,tairua,-37.0167,175.85,71.01,53,16,7.0,NZ,1611977872
537,kurud,20.8322,81.7214,70.57,24,4,6.78,IN,1611977872
538,buchanan,5.8808,-10.0467,77.0,94,75,5.14,LR,1611977873
539,carinhanha,-14.3047,-43.765,72.81,58,49,2.91,BR,1611977873
540,fare,-16.7,-151.0167,81.12,66,85,3.91,PF,1611977873
541,rabo de peixe,37.8,-25.5833,59.0,94,20,8.05,PT,1611977873
542,yanji,42.9075,129.5078,17.96,78,81,14.45,CN,1611977873
543,ngunguru,-35.6167,174.5,70.0,59,19,11.01,NZ,1611977873
544,andradas,-22.0681,-46.5692,66.31,77,73,3.85,BR,1611977873
545,aksu,41.1231,80.2644,28.27,73,0,1.95,CN,1611977874
546,bafoulabe,13.8065,-10.8321,68.99,17,0,2.24,ML,1611977874
547,talavera,15.6167,120.9333,82.4,51,75,11.5,PH,1611977874
548,stornoway,58.2093,-6.3865,37.4,75,82,9.22,GB,1611977874
549,liverpool,53.4106,-2.9779,41.0,81,90,20.71,GB,1611977577
550,saurimo,-9.6608,20.3916,63.66,95,88,1.95,AO,1611977875
551,bubaque,11.2833,-15.8333,78.24,65,0,9.66,GW,1611977875
552,mayna,54.1135,47.6231,23.36,97,61,14.14,RU,1611977875
553,campbell river,50.0163,-125.2446,42.01,100,90,13.8,CA,1611977773
554,caravelas,-17.7125,-39.2481,75.02,89,4,5.99,BR,1611977875
555,qaqortoq,60.7167,-46.0333,42.8,33,75,26.46,GL,1611977875
556,lisala,2.15,21.5167,70.68,91,88,1.3,CD,1611977876
557,kingori,-3.2833,36.9833,66.2,77,20,8.05,TZ,1611977876
558,sapa,5.1544,120.3241,82.15,76,79,8.03,PH,1611977876
559,hualmay,-11.0964,-77.6139,70.59,79,85,5.86,PE,1611977876
560,murray bridge,-35.1167,139.2667,72.0,67,56,14.18,AU,1611977876
561,carnarvon,-24.8667,113.6333,105.8,21,0,18.41,AU,1611977875
562,mount isa,-20.7333,139.5,100.4,22,80,10.36,AU,1611977877
563,dingle,10.9995,122.6711,77.18,85,100,17.18,PH,1611977602
564,presidencia roque saenz pena,-26.7852,-60.4388,79.0,81,1,3.0,AR,1611977877
565,tagusao,9.1924,117.8141,81.45,71,58,12.39,PH,1611977877
566,kirksville,40.1948,-92.5833,35.01,75,1,11.5,US,1611977877
567,myshkin,57.7897,38.4545,23.58,97,99,9.82,RU,1611977877
568,port hawkesbury,45.6169,-61.3485,27.0,74,40,11.5,CA,1611977620
569,gigmoto,13.7796,124.39,77.2,73,100,21.3,PH,1611977878
570,acajutla,13.5928,-89.8275,79.41,50,63,10.45,SV,1611977719
571,intipuca,13.1969,-88.0544,77.54,51,2,7.29,SV,1611977878
572,voskresenskoye,56.8381,45.4317,19.44,97,78,7.94,RU,1611977878
573,boende,-0.2167,20.8667,70.14,93,75,1.39,CD,1611977878
574,haapsalu,58.9431,23.5414,24.01,90,100,14.0,EE,1611977878
575,conway,35.0887,-92.4421,46.4,71,90,6.91,US,1611977810
576,mnogovershinnyy,53.9353,139.9242,-5.4,92,100,5.12,RU,1611977879
577,molina,-35.1167,-71.2833,64.0,100,20,10.36,CL,1611977879
578,svetlyy yar,48.4748,44.781,32.0,93,0,13.42,RU,1611977630
579,santa maria,-29.6842,-53.8069,75.2,83,0,4.61,BR,1611977879
580,rocha,-34.4833,-54.3333,65.46,81,3,4.83,UY,1611977879
581,malinovoye ozero,51.6753,79.7825,14.67,94,54,4.85,RU,1611977879
